"","Sample","locus","inputF","filtered.F","inputR","filtered.R","dadaF1s","dadaF2s","dadaR1s","dadaR2s","mergersF","mergersR","joined","nochim","fastq_header","Fwd.R1","Fwd.R2","Rev.R1","Rev.R2","filtF1s","filtF2s","filtR1s","filtR2s","pct_lost_filtering_Fwd","pct_lost_filtering_Rev","dif_dadaF1s_dadaF2s","dif_dadaR1s_dadaR2s","Pct_fwd_lost_dereplicating_merging","Pct_rev_lost_dereplicating_merging","pct_lost_chimeras"
"1","L34_rep3","COI",34536,31506,25055,23236,28192,29486,20729,21516,22979,16788,39767,37732,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0877345378735233,0.0726002793853522,1294,787,0.203197059537432,0.205207716889573,0.0511730832096965
"2","L20_rep3","COI",18978,17605,11990,11176,15841,16413,9794,10260,12645,7852,20497,19418,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0723469280219201,0.0678899082568807,572,466,0.215911204811806,0.216914331305475,0.0526418500268332
"3","L9_rep3","COI",28312,25334,21002,19143,23619,24240,17621,18035,20783,14802,35585,34603,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105185080531224,0.0885153794876678,621,414,0.131490419774755,0.169733004262957,0.0275958971476746
"4","L2_rep3","COI",20681,18880,17366,16038,17940,18313,15140,15381,16580,14069,30649,29605,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0870847637928533,0.0764712656915812,373,241,0.0853170772074035,0.0780773893384882,0.0340631015693824
"5","L36_rep3","COI",33331,30999,25294,23759,27894,28988,20944,21797,23027,16796,39823,38536,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069964897542828,0.0606863287736222,1094,853,0.190358988783798,0.214056760487588,0.0323180071817794
"6","L21_rep3","COI",22950,20944,19214,17601,18254,19102,15026,15794,13874,11068,24942,23193,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874074074074074,0.0839492037056313,848,768,0.257200985116179,0.281765087605451,0.0701226846283377
"7","L40_rep3","COI",22335,20613,16949,15882,18610,19315,14188,14608,15678,11898,27576,26759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0770987239758227,0.0629535665820992,705,420,0.173210283454186,0.173635227114877,0.0296272120684653
"8","L12_rep3","COI",29876,27516,21099,19626,26580,26787,18675,18902,24841,17236,42077,41378,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0789931717766769,0.069813735248116,207,227,0.0690501620851837,0.0826303323841712,0.0166124010742211
"9","L25_rep3","COI",22666,20975,17627,16359,19222,19788,14762,15255,16033,12335,28368,27207,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0746051354451601,0.0719350995631701,566,493,0.178005639579595,0.178132391644735,0.0409263959390863
"10","L33_rep3","COI",29011,26845,15993,15059,24593,25257,13547,13911,20840,10974,31814,31099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0746613353555548,0.0584005502407303,664,364,0.163891675025075,0.200670114356472,0.0224743823473942
"11","L22_rep3","COI",519,462,461,413,294,303,247,278,206,111,317,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109826589595376,0.10412147505423,9,31,0.309882747068677,0.577142857142857,0
"12","L18_rep3","COI",19989,18508,14711,13731,17266,17654,12606,13017,14947,11069,26016,25174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0740907499124518,0.066616817347563,388,411,0.143928980526919,0.13601061546267,0.0323646986469865
"13","L6_rep3","COI",27864,25463,22870,21068,22940,24029,18985,19735,18943,15124,34067,31885,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0861685328739592,0.0787931788369042,1089,750,0.193382869552258,0.218801652892562,0.0640502539114099
"14","L11_rep3","COI",23087,21295,18894,17551,19746,20098,16150,16575,16712,13674,30386,29549,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0776194395114134,0.0710807663808617,352,425,0.161128400762976,0.164308632543927,0.0275455802014085
"15","L24_rep3","COI",13715,12760,11243,10530,11571,12071,9457,9793,9623,7784,17407,16926,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0696317900109369,0.0634172373921551,500,336,0.185940275780391,0.191272727272727,0.0276325616131441
"16","L38_rep3","COI",21853,19103,17317,15260,16113,17109,12758,13655,12425,9959,22384,21442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125840845650483,0.118785008950742,996,897,0.252001685630004,0.245901639344262,0.0420836311651179
"17","L23_rep3","COI",16743,15547,10701,9958,14269,14643,8880,9218,12100,7394,19494,19048,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0714328376037747,0.0694327632931502,374,338,0.162977310459325,0.182893137363245,0.0228788345131835
"18","L2_rep2","COI",19916,18538,16043,14997,17878,17987,14416,14610,16786,13667,30453,29440,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0691906005221932,0.0651997756030668,109,194,0.0639341976857661,0.058292565286295,0.0332643746100548
"19","L26_rep2","COI",81657,75343,65823,60876,71097,72853,57277,58511,61499,47861,109360,103018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0773234382845316,0.0751561004512101,1756,1234,0.145550538381382,0.173299478356997,0.0579919531821507
"20","L19_rep2","COI",29793,27283,24637,22899,24408,25377,20340,21049,20604,16739,37343,35494,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0842479777128856,0.070544303283679,969,709,0.17228080747213,0.191137741912102,0.0495139651340278
