Sample,locus,inputF,filtered.F,inputR,filtered.R,dadaF1s,dadaF2s,dadaR1s,dadaR2s,mergersF,mergersR,joined,nochim,fastq_header,Fwd.R1,Fwd.R2,Rev.R1,Rev.R2,filtF1s,filtF2s,filtR1s,filtR2s
L34_rep3,COI,34536,31795,25055,23446,28713,29830,21129,21750,12618,8929,21547,21328,NA,NA,NA,NA,NA,NA,NA,NA,NA
L20_rep3,COI,18978,17746,11990,11260,15998,16635,9997,10402,5510,3323,8833,8785,NA,NA,NA,NA,NA,NA,NA,NA,NA
L9_rep3,COI,28312,25622,21002,19357,24057,24556,17924,18293,8949,6713,15662,15624,NA,NA,NA,NA,NA,NA,NA,NA,NA
L2_rep3,COI,20681,19067,17366,16184,18178,18542,15344,15591,7029,6004,13033,13027,NA,NA,NA,NA,NA,NA,NA,NA,NA
L36_rep3,COI,33331,31223,25294,23962,28260,29297,21392,22105,12251,9114,21365,21202,NA,NA,NA,NA,NA,NA,NA,NA,NA
L21_rep3,COI,22950,21149,19214,17841,18583,19315,15426,15993,4774,3667,8441,8364,NA,NA,NA,NA,NA,NA,NA,NA,NA
L40_rep3,COI,22335,20766,16949,16011,18935,19477,14445,14776,6901,5433,12334,12299,NA,NA,NA,NA,NA,NA,NA,NA,NA
L12_rep3,COI,29876,27719,21099,19801,26824,27000,18913,19172,11250,8084,19334,19281,NA,NA,NA,NA,NA,NA,NA,NA,NA
L25_rep3,COI,22666,21145,17627,16515,19477,20042,14987,15373,6701,5218,11919,11883,NA,NA,NA,NA,NA,NA,NA,NA,NA
L33_rep3,COI,29011,27034,15993,15158,24848,25360,13628,14114,10027,5430,15457,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA
L22_rep3,COI,519,468,461,416,304,328,243,268,91,62,153,153,NA,NA,NA,NA,NA,NA,NA,NA,NA
L18_rep3,COI,19989,18632,14711,13836,17421,17824,12820,13181,6145,4450,10595,10579,NA,NA,NA,NA,NA,NA,NA,NA,NA
L6_rep3,COI,27864,25689,22870,21264,23362,24334,19338,19966,6548,5447,11995,11927,NA,NA,NA,NA,NA,NA,NA,NA,NA
L11_rep3,COI,23087,21459,18894,17725,20078,20294,16400,16854,6820,5495,12315,12267,NA,NA,NA,NA,NA,NA,NA,NA,NA
L24_rep3,COI,13715,12843,11243,10614,11740,12222,9649,9888,2746,2351,5097,5085,NA,NA,NA,NA,NA,NA,NA,NA,NA
L38_rep3,COI,21853,19411,17317,15586,16548,17499,13164,13996,7093,5785,12878,12796,NA,NA,NA,NA,NA,NA,NA,NA,NA
L23_rep3,COI,16743,15646,10701,10042,14418,14830,8976,9316,4991,3211,8202,8171,NA,NA,NA,NA,NA,NA,NA,NA,NA
L2_rep2,COI,19916,18657,16043,15107,18100,18090,14577,14755,5196,4239,9435,9433,NA,NA,NA,NA,NA,NA,NA,NA,NA
L26_rep2,COI,81657,75928,65823,61415,71944,73646,57982,59068,21868,17058,38926,38663,NA,NA,NA,NA,NA,NA,NA,NA,NA
L19_rep2,COI,29793,27499,24637,23091,24917,25692,20738,21335,9943,7980,17923,17720,NA,NA,NA,NA,NA,NA,NA,NA,NA
